metric,mean_greed,mean_fear,t_stat,p_val
total_pnl,10886.295225642856,48087.17790956756,-1.6542907215642328,0.10585133025087051
avg_leverage,1.0,1.0,,
total_notional,1018675.2805484794,2153361.927857071,-1.3373126535009348,0.1876867672242663
avg_pnl_rate,0.01818962158805067,0.02186953025432573,-0.48811304118054494,0.6267835745737078
