date,total_trades,total_notional,avg_leverage,total_pnl,avg_pnl,avg_pnl_rate
2023-01-05,3,476.99280999999996,1.0,0.0,0.0,0.0
2023-05-12,9,50005.82917,1.0,0.0,0.0,0.0
2024-01-01,18,264239.51261,1.0,-129.53146,-7.196192222222223,-0.001354254305259491
2024-01-02,6,2008.1847710000002,1.0,0.0,0.0,0.0
2024-01-03,137,472974.663145,1.0,8244.241409,60.176944591240876,0.032564892305794825
2024-01-04,77,339470.500845,1.0,2507.963406,32.57095332467532,0.016573696363316334
2024-01-05,14,87025.4638,1.0,0.0,0.0,0.0
2024-01-06,25,12834.623744,1.0,91.510419,3.66041676,0.00542600829947285
2024-01-07,64,362670.14177832,1.0,5065.839308,79.1537391875,0.01059434581229537
2024-01-08,57,227774.51260871076,1.0,167.080017,2.9312283684210527,0.0006039149646036338
2024-01-09,12,12359.663834683,1.0,137.433093,11.452757750000002,0.008313323863422676
2024-01-10,4,139954.32129,1.0,0.0,0.0,0.0
2024-01-11,23,260981.03281,1.0,1040.475736,45.238075478260875,0.0010570550042825252
2024-01-12,416,814711.9570724809,1.0,40886.364494,98.28453003365385,0.2009405886561583
2024-02-01,17,121348.72987200001,1.0,783.979116,46.11641858823529,0.05840694697896282
2024-02-02,42,474278.433764,1.0,456.423473,10.867225547619048,0.0222234288419947
2024-02-03,31,63197.542455,1.0,230.90060000000005,7.448406451612905,-0.07441099603557542
2024-02-04,41,239664.47561000002,1.0,883.760812,21.555141756097562,0.003054844554324435
2024-02-06,93,29464.546476,1.0,192.906947,2.074268247311828,0.0072570471626975976
2024-02-07,18,33347.468420000005,1.0,2421.253116,134.514062,0.04432660062602436
2024-02-08,63,396320.3565008986,1.0,782.3681909999999,12.418542714285714,0.002989243076510612
2024-02-09,2,30000.424769999998,1.0,0.0,0.0,0.0
2024-02-10,4,99954.34189,1.0,0.0,0.0,0.0
2024-02-11,2,39999.9936,1.0,0.0,0.0,0.0
2024-02-12,270,585243.4758392512,1.0,18489.604313,68.48001597407408,0.08225614831765574
2024-03-01,67,394499.36837399995,1.0,866.015507,12.925604582089552,0.0023976016580168572
2024-03-02,56,603819.98881,1.0,223.30918699999998,3.9876640535714283,4.502297112781338e-05
2024-03-03,79,390745.677042,1.0,8361.086245,105.83653474683545,0.03077121775280245
2024-03-04,4,16887.5616,1.0,126.7884,31.6971,0.00903734876380852
2024-03-05,36,282682.63886,1.0,5306.017045,147.3893623611111,0.004848433779784563
2024-03-06,70,21466.868433,1.0,562.808208,8.040117257142859,0.022945952531108125
2024-03-07,18,179600.65518,1.0,1118.387284,62.132626888888886,0.008604763090199983
2024-03-08,37,290532.88809492247,1.0,464.1897,12.545667567567568,0.0027669663559795814
2024-03-10,9,132935.701832,1.0,100.375782,11.152864666666666,0.005108375910131577
2024-03-11,6,129055.6699,1.0,0.0,0.0,0.0
2024-03-12,374,1084666.510653,1.0,23576.539285,63.03887509358289,0.05738761597225648
2024-04-01,5,99792.53588000001,1.0,-67.60364,-13.520728,-0.000804908100505078
2024-04-02,35,203187.53669,1.0,47.62389499999999,1.360682714285714,-0.01109829423679159
2024-04-03,300,1577996.746285,1.0,27799.775742,92.66591914,0.04039785985546077
2024-04-04,32,95987.71009,1.0,0.0,0.0,0.0
2024-04-05,9,58998.751001000004,1.0,0.0,0.0,0.0
2024-04-06,53,24243.41788,1.0,52.211438,0.9851214716981133,0.0019124911499407964
2024-04-07,25,430567.99370999995,1.0,0.0,0.0,0.0
2024-04-08,127,1207744.076719446,1.0,-122672.000883,-965.9212667952756,-0.0711289119614211
2024-04-09,34,131480.94938499999,1.0,1065.785132,31.346621529411763,0.006274657225791323
2024-04-10,1,0.33810461189999996,1.0,0.0,0.0,0.0
2024-04-11,36,451811.99086,1.0,2799.410474,77.76140205555555,0.010485192154292012
2024-04-12,319,769287.6978940717,1.0,292891.815021,918.1561599404388,0.23604069251618728
2024-05-01,66,1703942.66731,1.0,164.141565,2.486993409090909,0.0001113321724453782
2024-05-02,72,770198.24871,1.0,-33.45419400000003,-0.4646415833333337,-0.0006307962768986157
2024-05-03,180,841810.2949559999,1.0,19791.026041,109.95014467222222,0.03980082231666449
2024-05-04,100,503791.831726,1.0,10706.484306,107.06484306,0.022739250303498347
2024-05-05,6,24068.344540000002,1.0,0.916,0.15266666666666667,0.0037517611979422656
2024-05-06,54,25350.75432,1.0,56.055506,1.038064925925926,0.001186380682925007
2024-05-07,32,272289.87738,1.0,0.0,0.0,0.0
2024-05-08,80,420495.37342,1.0,-13013.665169,-162.6708146125,-0.00411583188816623
2024-05-09,1,0.8427951946369999,1.0,0.0,0.0,0.0
2024-05-10,37,605605.7145409533,1.0,5767.161892,155.86924032432432,0.006970947372276551
2024-05-11,10,200627.22152,1.0,678.4759280000001,67.8475928,0.0022521262549011186
2024-05-12,456,1256750.7987900001,1.0,71574.11848800001,156.96078615789474,0.09405373647095822
2024-06-01,22,298521.41284,1.0,135.58166400000002,6.16280290909091,0.001086395173820407
2024-06-02,1088,8047153.469136,1.0,-215.615907,-0.19817638511029412,-0.00013065001148944498
2024-06-03,82,327217.990646,1.0,6814.825139,83.10762364634145,0.03812296595350295
2024-06-04,16,68223.66744,1.0,236.33513399999998,14.770945874999999,0.003246879653099432
2024-06-05,9,206016.42648,1.0,968.59038,107.62115333333333,0.0032080133088578425
